symbol,model,prediction_file,pnl_mode,negative_mode,trading_days,first_date,last_date,ref_close,ref_price_date_used,shares,invested_notional,pnl_predicted,pnl_oracle,final_equity_predicted,final_equity_oracle,total_return_predicted,total_return_oracle,days_long_predicted,days_short_predicted,days_flat_predicted,days_long_oracle,days_short_oracle,days_flat_oracle,return_gap_oracle_minus_predicted,total_return_sign_predicted,total_return_sign_oracle,predicted_underperforms_oracle
786,RandomForest,786_predictions_20260311_053835_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,38.79,2026-03-19,2578.0,100000.62,34184.27999999999,153107.41999999998,134184.28,253107.41999999998,0.3418427999999999,1.5310742,24,0,1,16,0,9,1.1892314000000002,1,1,True
AABS,XGBoost,AABS_predictions_20260311_054000_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,860.0,2026-03-19,116.0,99760.0,298.119999999994,34516.96000000001,100298.12,134516.96000000002,0.00298119999999994,0.3451696000000001,18,0,7,15,0,10,0.3421884000000001,1,1,True
AATM,Prophet,AATM_predictions_20260311_054013_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,34.71,2026-03-19,2881.0,99999.51000000001,-460.9599999999905,37769.909999999996,99539.04000000001,137769.91,-0.004609599999999905,0.37769909999999995,8,0,17,9,0,16,0.38230869999999983,-1,1,True
ABL,Prophet,ABL_predictions_20260311_054224_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,170.03,2026-03-19,588.0,99977.64,5950.559999999986,21714.839999999953,105950.55999999998,121714.83999999995,0.05950559999999986,0.21714839999999952,25,0,0,11,0,14,0.15764279999999967,1,1,True
ABOT,Prophet,ABOT_predictions_20260311_054420_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,930.64,2026-03-19,107.0,99578.48,-3579.1499999999933,28640.689999999984,96420.85,128640.68999999999,-0.035791499999999934,0.28640689999999985,25,0,0,10,0,15,0.3221983999999998,-1,1,True
ACIETF,Prophet,ACIETF_predictions_20260311_143055_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,15.12,2026-03-19,6614.0,100003.68,0.0,38162.78,100000.0,138162.78,0.0,0.38162779999999996,0,0,25,9,0,16,0.38162779999999996,0,1,True
ACPL,RandomForest,ACPL_predictions_20260311_054616_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,267.02,2026-03-19,375.0,100132.5,1353.7500000000057,16271.249999999995,101353.75,116271.25,0.013537500000000056,0.16271249999999995,13,0,12,13,0,12,0.1491749999999999,1,1,True
ADAMS,Prophet,ADAMS_predictions_20260311_054736_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,77.78,2026-03-19,1286.0,100025.08,0.0,15817.799999999996,100000.0,115817.79999999999,0.0,0.15817799999999996,0,0,25,5,0,20,0.15817799999999996,0,1,True
ADMM,Prophet,ADMM_predictions_20260311_054915_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,47.9,2026-03-19,2088.0,100015.2,0.0,34264.07999999999,100000.0,134264.08,0.0,0.34264079999999986,0,0,25,12,0,13,0.34264079999999986,0,1,True
AGHA,Prophet,AGHA_predictions_20260311_055121_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,6.39,2026-03-19,15649.0,99997.11,2816.820000000009,40530.91000000002,102816.82,140530.91000000003,0.028168200000000088,0.4053091000000002,17,0,8,14,0,11,0.3771409000000001,1,1,True
AGIC,RandomForest,AGIC_predictions_20260311_055248_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,34.53,2026-03-19,2896.0,99998.88,15232.95999999997,31160.96,115232.95999999996,131160.96,0.1523295999999997,0.3116096,19,0,6,15,0,10,0.15928000000000028,1,1,True
AGIL,Prophet,AGIL_predictions_20260311_055420_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,131.36,2026-03-19,761.0,99964.96,-3257.0799999999963,33445.94999999998,96742.92,133445.94999999998,-0.03257079999999996,0.3344594999999998,25,0,0,13,0,12,0.36703029999999975,-1,1,True
AGL,XGBoost,AGL_predictions_20260311_055614_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,50.51,2026-03-19,1980.0,100009.8,-17522.999999999993,41223.599999999984,82477.0,141223.59999999998,-0.1752299999999999,0.4122359999999998,10,0,15,12,0,13,0.5874659999999997,-1,1,True
AGP,XGBoost,AGP_predictions_20260311_055805_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,191.67,2026-03-19,522.0,100051.73999999999,10998.539999999997,43221.600000000006,110998.54,143221.6,0.10998539999999997,0.43221600000000004,19,0,6,11,0,14,0.3222306000000001,1,1,True
AGSML,RandomForest,AGSML_predictions_20260311_143250_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,7.54,2026-03-19,13263.0,100003.02,-20292.38999999998,66315.0,79707.61000000002,166315.0,-0.20292389999999982,0.66315,11,0,14,13,0,12,0.8660738999999998,-1,1,True
AGTL,RandomForest,AGTL_predictions_20260311_060015_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,320.16,2026-03-19,312.0,99889.92000000001,2483.5199999999977,21602.87999999997,102483.52,121602.87999999998,0.024835199999999977,0.2160287999999997,23,0,2,10,0,15,0.1911935999999997,1,1,True
AHCL,Prophet,AHCL_predictions_20260311_060154_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,13.25,2026-03-19,7547.0,99997.75,0.0,47923.45000000001,100000.0,147923.45,0.0,0.4792345000000001,0,0,25,13,0,12,0.4792345000000001,0,1,True
AHL,RandomForest,AHL_predictions_20260311_060353_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,85.3,2026-03-19,1172.0,99971.59999999999,8754.840000000015,44383.64,108754.84000000001,144383.64,0.08754840000000015,0.4438364,10,0,15,14,0,11,0.3562879999999999,1,1,True
AICL,Prophet,AICL_predictions_20260311_060543_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,67.64,2026-03-19,1478.0,99971.92,0.0,66539.55999999997,100000.0,166539.55999999997,0.0,0.6653955999999996,0,0,25,10,0,15,0.6653955999999996,0,1,True
AIRLINK,XGBoost,AIRLINK_predictions_20260311_143419_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,136.86,2026-03-19,731.0,100044.66,-17565.92999999998,31096.740000000034,82434.07000000002,131096.74000000005,-0.1756592999999998,0.31096740000000034,12,0,13,11,0,14,0.48662670000000013,-1,1,True
AKBL,XGBoost,AKBL_predictions_20260311_060738_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,82.64,2026-03-19,1210.0,99994.4,22735.900000000012,44927.30000000002,122735.90000000001,144927.30000000002,0.22735900000000012,0.4492730000000002,20,0,5,10,0,15,0.22191400000000008,1,1,True
AKDHL,RandomForest,AKDHL_predictions_20260311_060907_20260304_20260511.csv,shares,flat,24,2026-03-04,2026-04-09,142.14,2026-03-19,704.0,100066.56,21267.839999999997,26456.319999999996,121267.84,126456.31999999999,0.21267839999999996,0.26456319999999994,10,0,14,7,0,17,0.05188479999999998,1,1,True
AKDSL,Prophet,AKDSL_predictions_20260311_060949_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,29.73,2026-03-19,3364.0,100011.72,-3464.9199999999964,56178.79999999999,96535.08,156178.8,-0.03464919999999996,0.5617879999999998,25,0,0,12,0,13,0.5964371999999998,-1,1,True
AKGL,Prophet,AKGL_predictions_20260311_060954_20260304_20260511.csv,shares,flat,7,2026-03-25,2026-04-09,61.08,2026-04-09,1637.0,99987.95999999999,0.0,9052.610000000002,100000.0,109052.61,0.0,0.09052610000000003,0,0,7,1,0,6,0.09052610000000003,0,1,True
ALAC,RandomForest,ALAC_predictions_20260311_143531_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,11.54,2026-03-19,8666.0,100005.64,22531.60000000001,50522.78,122531.6,150522.78,0.2253160000000001,0.5052278,17,0,8,15,0,10,0.27991179999999993,1,1,True
ALIFE,XGBoost,ALIFE_predictions_20260311_061054_20260304_20260511.csv,shares,flat,24,2026-03-04,2026-04-09,33.38,2026-03-19,2996.0,100006.48000000001,1857.5200000000132,35892.07999999999,101857.52000000002,135892.08,0.018575200000000132,0.3589207999999999,12,0,12,5,0,19,0.34034559999999975,1,1,True
ALNRS,XGBoost,ALNRS_predictions_20260311_061152_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,120.39,2026-03-19,831.0,100044.09,1121.8499999999835,22545.03,101121.84999999998,122545.03,0.011218499999999836,0.2254503,6,0,19,5,0,20,0.21423180000000017,1,1,True
ALTN,XGBoost,ALTN_predictions_20260311_061339_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,8.6,2026-03-19,11628.0,100000.8,7790.759999999978,22674.59999999999,107790.75999999998,122674.59999999999,0.07790759999999979,0.22674599999999992,5,0,20,12,0,13,0.14883840000000015,1,1,True
